date,index_code,open,high,low,close,volume
2020-03-24,HNXINDEX,96.45,97.37,95.9,96.95,51432323
2020-03-25,HNXINDEX,97.01,100.44,96.99,100.09,42916325
2020-03-26,HNXINDEX,100.07,100.3,97.66,97.81,40990198
2020-03-27,HNXINDEX,97.85,98.32,96.39,97.35,40620562
2020-03-30,HNXINDEX,97.3,97.3,92.65,93.28,39733077
2020-03-31,HNXINDEX,93.06,94.98,91.58,92.64,49587767
2020-04-01,HNXINDEX,92.64,95.91,89.7,95.61,32719748
2020-04-03,HNXINDEX,95.62,98.17,94.81,97.84,44083771
2020-04-06,HNXINDEX,97.86,103.28,97.86,103.26,61245860
2020-04-07,HNXINDEX,103.43,104.21,102.02,103.43,56496300
2020-04-08,HNXINDEX,103.16,106.6,101.59,103.93,41298353
2020-04-09,HNXINDEX,107.14,107.2,103.65,105.08,48056753
2020-04-10,HNXINDEX,105.08,107.33,101.58,106.18,49934956
2020-04-13,HNXINDEX,106.2,108.02,103.1,107.16,35870256
2020-04-14,HNXINDEX,107.16,107.45,105.66,107.15,50359789
2020-04-15,HNXINDEX,107.15,108.9,106.78,108.33,48874915
2020-04-16,HNXINDEX,108.33,108.76,107.27,108.75,37420426
2020-04-17,HNXINDEX,108.73,110.61,108.18,110.46,51306251
2020-04-20,HNXINDEX,110.48,111.27,109.66,109.68,67829037
2020-04-21,HNXINDEX,109.7,109.72,104.4,104.7,73187141
2020-04-22,HNXINDEX,104.71,107.28,102.28,106.8,28862183
2020-04-23,HNXINDEX,106.78,108.57,106.5,106.97,47131859
2020-04-24,HNXINDEX,106.99,107.12,105.92,106.97,43462238
2020-04-27,HNXINDEX,106.98,107.59,105.92,106.3,37824206
2020-04-28,HNXINDEX,106.3,106.68,104.89,106.26,40512355
2020-04-29,HNXINDEX,106.3,106.85,105.9,106.84,47903271
2020-05-04,HNXINDEX,106.84,106.87,105.49,105.72,40364478
2020-05-05,HNXINDEX,105.68,106.15,105.11,105.41,26230216
2020-05-06,HNXINDEX,105.41,106.75,104.75,106.66,51330112
2020-05-07,HNXINDEX,106.65,108.36,106.58,108.31,37482697
2020-05-08,HNXINDEX,108.31,110.79,107.2,110.02,62052998
2020-05-11,HNXINDEX,110.03,111.57,110.03,111.57,51117937
2020-05-12,HNXINDEX,111.59,112.24,110.51,111.78,51681067
2020-05-13,HNXINDEX,111.78,112.3,110.62,111.86,61064447
2020-05-14,HNXINDEX,111.88,112.08,110.78,111.34,59396895
2020-05-15,HNXINDEX,111.34,112.76,109.0,109.02,70719098
